Term,Source,Definition,UF,USE,BT,NT,RT,First_Letter
Metropolitan Planning Organization (MPO) (Local Agency),Local Agency Guidelines,"the agency designated by the Governor (or governors in multistate areas) to administer the federally required transportation planning in a metropolitan area. An MPO must be in place in every urbanized area over 50,000 population. The MPO is responsible for the long-range plans and the transportation improvement program. The official name for an MPO may also be Council of Governments, Planning Association, Planning Authority, Regional or Area Planning Council, Regional or Area Planning Commission.",,,,,Metropolitan Planning Organization (MPO) Public Transportation),M
Metropolitan Planning Organization (MPO) Public Transportation),Summary of Public Transportation,"Federal legislation created metropolitan planning organizations (MPOs). An MPO covers an urbanized area and receives federal funding in support of its planning efforts. It is the area-wide agency responsible for conducting coordinated urbanized transportation planning consistent with state rules and federal legislation. Together with WSDOT, they carry out the planning and program activities necessary for federal funding",,,,,Metropolitan Planning Organization (MPO) (Design),M
Metropolitan Planning Organization (MPO) Public Transportation),Summary of Public Transportation,"Federal legislation created metropolitan planning organizations (MPOs). An MPO covers an urbanized area and receives federal funding in support of its planning efforts. It is the area-wide agency responsible for conducting coordinated urbanized transportation planning consistent with state rules and federal legislation. Together with WSDOT, they carry out the planning and program activities necessary for federal funding",,,,,Metropolitan Planning Organization (MPO) (Local Agency),M
Metropolitan Statistical Area (MSA) & Consolidated Metropolitan Statistical Area (CMSA),Local Agency Guidelines,"Metropolitan Statistical Area is the census classifications for areas having a population over 50,000. The MSA may contain several urbanized areas, but contains one or more central city or cities. When the commuting patterns of two MSAs have caused them to merge, the result is a Consolidated Metropolitan Statistical Area (CMSA).",,,,,,M
Metropolitan Transportation Improvement Program,Environment Manual,"A fiscally constrained prioritized listing/program of transportation projects covering a period of four years and formally adopted by an MPO in accordance with 23 CFR 450, as required for all regionally significant projects and projects requesting federal funding.",,,,,,M
microorganisms,Roadside Manual,"Forms of life that are either too small to be seen with the unaided eye, or are barely discernible. Donahue, Roy L., John C. Shickluna, and Lynn S. Robertson, Soils: An Introduction to Soils and Plant Growth, Prentice-Hall, Inc., Englewood Cliffs, New Jersey, 1971,",,,,,,m
MicroStation,Terminal Design Manual,"CADD software program developed by Bentley Systems, Inc., registered and trademarked by Bentley Systems, Inc.",,,,,,M
midblock pedestrian crossing,Design Manual: ADA/Pedestrian Supplement,A marked pedestrian crossing located between intersections.,,,,,,m
midblock pedestrian crossing,Terminal Design Manual,A marked pedestrian crossing located between intersections.,,,,,,m
Middle Marker,State-Managed Airport Handbook,"A beacon that defines a point along the glide slope of an ILS, normally located at or near the point of decision height.",,,,,,M
Military Operations Area (MOA),State-Managed Airport Handbook,"Depicted on navigational charts, MOAs are airspace in which military flight operations (training and practice combat) are conducted. They may be transited by VFR civilian traffic, but special vigilance is recommended.",,,Special Use Airspace,,,M
minimum average light level,Desgin Manual,"The average of all light intensities within the design area, measured just prior to relamping the system (see Design Manual Chapter 1040).",,,,,,m
minimum light level,Desgin Manual,The minimum light intensity of illumination at any single point within the design area measured just prior to relamping the system (see Design Manual Chapter 1040).,,,,,,m
minimum passenger waiting area,Terminal Design Manual,The minimum determined area required for any passenger waiting area in order to maintain functionality and usability of the space.,,,,,,m
Minimum Standards,State-Managed Airport Handbook,The qualifications or criteria established by an airport sponsor as the minimum requirements to be met by businesses engaged in on-airport aeronautical uses as a condition for the right to conduct those activities.,,,,,,M
minor arterial system,Desgin Manual,"A rural network of arterial routes linking cities and other activity centers that generate long distance travel and, with appropriate extensions into and through urban areas, form an integrated network providing interstate and interregional service (RCW 47.05.021).",,,,,,m
minor operational enhancement projects,Desgin Manual,These projects usually originate from the Q2 component of the Q Program and are quick responses to implement low-cost improvements. They are typically narrow in scope and focus on improvements to traffic operations and modifications to traffic control devices. Guidance on the type of work included in the Q subprograms is in the Chart of Accounts.,,,,,,m
Missed Approach Procedure,State-Managed Airport Handbook,"An instrument procedure used to redirect a landing aircraft back around to attempt another landing. This may be due to visual contact not established at authorized minimums or instructions from air traffic control, or for other reasons",,,,,,M
mitigated area,Highway Runoff Manual,The drainage area from which stormwater runoff is to be detained or treated,,,,,,m
Mitigated Object,Utilities Manual,"An aboveground utility object within the Control Zone located in an inaccessible area or behind a protective device, or that utilizes breakaway design. The location and design of mitigation must be acceptable to and approved by WSDOT.",,,,,,M
Mitigation - NEPA/SEPA,Environment Manual,"mitigation means avoiding, minimizing, rectifying, rehabilitating, restoring, reducing or eliminating the environmental impact over time by preservation and maintenance operations during the life of the action. Mitigation can also mean compensating for the impact by replacing or providing substitute resources or environments for those impacted by the project.",,,,,,M
mitigation (Environment),Environment Manual,"Avoiding adverse impacts to wetlands, streams and other aquatic resources, where practical; minimizing unavoidable impacts; and compensating for all remaining unavoidable impacts.",,,,,mitigation (Highway Runoff),m
mitigation (Highway Runoff),Highway Runoff Manual,"Measures to reduce adverse impacts on the environment, in the following order of preference: 1. Avoid the impact altogether by not taking a certain action or part of an action. 2. Minimize the impact by limiting the degree or magnitude of the action and its implementation, by using appropriate technology, or by taking affirmative steps to avoid or reduce impacts. 3. Rectify the impact by repairing, rehabilitating, or restoring the affected environment. 4. Reduce or eliminate the impact over time by preservation and maintenance operations during the life of the action. 5. Compensate for the impact by replacing, enhancing, or providing substitute resources or environments.",,,,,mitigation (Environment),m
mitigation bank,Environment Manual,"A property developed for the purpose of providing compensatory mitigation in advance of authorized impacts to aquatic resources where wetlands are established, restored, enhanced, or preserved. A mitigation bank may sell credits to, and assume the mitigation obligations of third parties. With regulatory approval, the mitigation obligation is transferred when the credit purchase is finalized.",,,,,,m
Mitigation Sequence,Environment Manual,"An ordered approach to mitigation that involves analyzing the affected environment, determining the effects of projects, avoiding and minimizing adverse impacts, and compensating for the remaining unavoidable impacts.",,,,,,M
mitigation wetland,Highway Runoff Manual,"A wetland that is created, enhanced, restored, or preserved to offset the unavoidable environmental impacts of development actions on natural wetlands.",,,,,,m
Mobile Source,Environment Manual,"Any nonstationary source of air pollution such as cars, trucks, motorcycles, buses, airplanes, and locomotives",,,,,,M
Mobile Source Air Toxic (MSAT,Environment Manual,"Any one of six priority volatile gases or small particulate compounds coming from the tailpipe of a vehicle. The six compounds are formaldehyde, 1,3-butadiene, acrolein, naphthalene, benzene, and diesel emissions. Nonattainment Area – An area that does not meet one or more of the NAAQS for the criteria pollutants designated in the Clean Air Act.",,,,,,M
modal compatibility,Desgin Manual,"An assessment to determine which mode(s) need to be considered strictly based on the context characteristics present or planned. The assessment is independent of whether any particular mode is present on the segment, and intended to guide strategic investment opportunities on a segment.",,,,,,m
modal priority,Desgin Manual,"Mode(s) that will be prioritized when making design decisions for the project, guided by the outcome of the modal compatibility assessment.",,,,,,m
mode,Desgin Manual,"A specific type or form of transportation. Typically for roadway design the modes are: automobiles, transit, truck freight, pedestrians, skateboards, and bicycles.",,,,,,m
model,Terminal Design Manual,"Describes a subset of a structure’s geometry and its physical components: piers, trestles, and other components. A model has no scale (1:1); it is drawn life-size. Most structures are described by a series of two-dimensional models plans, elevations, sections, and details although the organizational concept also supports three-dimensional models. Models can be constructed hierarchically; in other words, models can contain other models.",,,,,,m
modular home,Permit Desk Guide,"Any factory-built housing designed primarily for residential occupancy by human beings, which does not contain a permanent frame and must be mounted on a permanent foundation. Does not have its own axles and is transported on a licensed trailer",,,,,,m
monitoring (Highway Runoff),Highway Runoff Manual,"The collection of data by various methods for the purposes of understanding natural systems and features, evaluating the impacts of development proposals on such systems, and assessing the performance of mitigation measures imposed as conditions of development.",,,,,monitoring (Right of Way),m
monitoring (Highway Runoff),Highway Runoff Manual,"The collection of data by various methods for the purposes of understanding natural systems and features, evaluating the impacts of development proposals on such systems, and assessing the performance of mitigation measures imposed as conditions of development.",,,,,monitoring (Roadside),m
monitoring (Right of Way),Right of Way Manual,Systematic and purposeful observation that occurs on a regular basis to determine if any changes to the right of way have occurred.,,,,,monitoring (Highway Runoff),m
monitoring (Right of Way),Right of Way Manual,Systematic and purposeful observation that occurs on a regular basis to determine if any changes to the right of way have occurred.,,,,,monitoring (Roadside),m
monitoring (Roadside),Roadside Manual,The collection of information after construction to assess if the replacement project is successful and to keep the regulatory agencies and construction agency informed about the status of the replacement project.,,,,,monitoring (Highway Runoff),m
monitoring (Roadside),Roadside Manual,The collection of information after construction to assess if the replacement project is successful and to keep the regulatory agencies and construction agency informed about the status of the replacement project.,,,,,monitoring (Right of Way),m
monument,Desgin Manual,"As defined in Design Manual Chapter 410, a monument is any physical object or structure that marks or references a survey point. This includes, but is not limited to, a point of curvature (P.C.), a point of tangency (P.T.), a property corner, a section corner, a General Land Office (GLO) survey point, a Bureau of Land Management (BLM) survey point, and any other permanent reference set by a governmental agency or private surveyor.",,,,,,m
monument removal or destruction,Desgin Manual,The physical disturbance or covering of a monument such that the survey point is no longer visible or readily accessible.,,,,,,m
mooring,Terminal Design Manual,The act of securing a vessel in a particular location as by cables and anchors or by lines.,,,,,,m
Mortgage Balance,Right of Way Manual,The amount of the principal balance on the date that the mortgage is paid off by the acquiring agency.,,,,,,M
Mortgage Interest Differential Payment (MIDP),Right of Way Manual,"The amount, as determined by the agency, necessary to compensate an eligible 180-day owner occupant for increased costs required to obtain a replacement mortgage for the purpose of purchasing an eligible replacement dwelling.",,,,,,M
Most Effective to Least Effective Hazard Controls,Safety Manual,Elimination or Substitution â€¢ Engineering Controls â€¢ Training and Administrative Controls â€¢ Personal Protective Equipment,,,,,,M
Motor Marshall,Bicycle Racing Guidelines,Emergency Relief Procedures,,,,,,M
"Motor Official (""Moto"")",Bicycle Racing Guidelines,"The motor official is a race referee/official responsible for enforcing the rules of the event. Riding a motorcycle, the motor official is often responsible for centerline rule enforcement in a rolling enclosure during a road race. Motor officials are also used to keep track of riders where cars and the peloton cannot mix (narrow roads, winding roads, etc.).",,,Race Officials,,,M
Motor Vehicle Excise Tax (MVET),Summary of Public Transportation,"Sound Transit is authorized by the state to impose voter-approved taxes to plan, build and operate the regional mass transit system. The 0.3 percent MVET 'car tab' tax is collected by the Department of Licensing, and are levied only in the Sound Transit Regional Transit District.",,,,,,M
mottling,Roadside Manual,Soils irregularly marked with spots of color. The presence of orange mottling usually indicates soils that have been though periods of saturation interspersed with periods where the soil had dried out.,,,,,,m
mounting height – luminaire,Desgin Manual,"The vertical distance between the surface of the design area and the center of the light source of the luminaire. Note: This is not to be confused with pole height (H1), but is the actual distance that the luminaire is located above the roadway edge line.",,,,,,m
movable bridge signal,Desgin Manual,(also drawbridge signal) A signal installed to notify traffic to stop when the bridge is opened for waterborne traffic. Movable bridge signals display continuous green when the roadway is open to vehicular traffic.,,,,,,m
MS-DOS,Terminal Design Manual,"Microsoft Disk Operating System, a registered trademark of the Microsoft Corporation. Software that allows application programs to interact with the computer’s hardware and translates the user’s commands.",,,,,,M
mudline,Terminal Design Manual,General term used in marine engineering to designate the elevation of the seabed or riverbed.,,,,,,m
multi-lane highway,Permit Desk Guide,A highway with two or more lanes of travel in the same direction.,,,,,,m
multilane approach,Desgin Manual,"An approach that has two or more lanes, regardless of the lane use designation.",,,,,,m
multimodal,Terminal Design Manual,"A facility which provides multiple transportation options such as ferry, transit, and commuter rail, among others.",,,,,,m
multimodal connection,Desgin Manual,"The point where multiple types of transportation activities occur; for example, where transit buses and van pools drop off or pick up passengers (including passengers with bicycles).",,,,,,m
Musculoskeletal Disorders (MSDs),Safety Manual,"Illnesses of the soft tissues of the musculoskeletal system (i.e., muscles, tendons, nerves, ligaments, joints) that are primarily caused or exacerbated by repeated exposure to ergonomic risk factors. Examples include tendonitis, epicondylitis, low-back pain, and carpal tunnel syndrome. These types of injuries are usually classified as 'occupational illnesses.' Many times the term Work-Related Musculoskeletal Disorder (WMSD) is used to identify injuries caused at work vs. at home.",,,,,Occupational Illnesses,M
Musculoskeletal Disorders (MSDs) Signs and Symptoms,Safety Manual,"Signs and symptoms of MSDs can include numbness, tingling, pain, and/or loss of strength. If an MSD is left untreated it can become debilitating over time. Early reporting of MSD signs and symptoms is extremely important",,,,,,M
mycorrhizae,Roadside Manual,"A beneficial group of fibrous fungi that engulf soil particles and pore spaces to absorb water and nutrients in solution and transfer this solution to the roots of plants. In effect, they multiply the plants’ root systems many times.",,,,,,m
mystery,Roadside Manual,"Characteristics in a landscape that excite wonder, curiosity, or surprise.",,,,,,m
National Airspace System (NAS),State-Managed Airport Handbook,"The common network of U.S. airspace, includes air navigation facilities, equipment and services, airports or landing areas; aeronautical charts, information and services; rules, regulations and procedures, technical information, manpower and material.",,,,,,N
National Ambient Air Quality Standards (NAAQS),Local Agency Guidelines,"National Ambient Air Quality Standards were set by the Environmental Protection Agency to define air pollution. EPS established NAAQS measures for six pollutants: carbon monoxide, ozone, particulate matter, lead, sulfur dioxide, and nitrous oxide.",,,,,,N
National Bridge Inspection Standards (NBIS),Bridge Inspection Manual,"Title 23 Code of Federal Regulations 650 Subpart C defines the NBIS regulations, and establishes requirements for inspection procedures, frequency of inspections, qualifications of personnel, inspection reports, and preparation and maintenance of a state bridge inventory. The NBIS apply to all structures defined as bridges located on all public roads.",,,,,,N
National Bridge Inventory (NBI),Bridge Inspection Manual,The aggregation of structure inventory and appraisal data collected nationally to fulfill the requirements of the National Bridge Inspection Standards. The state of Washington shall prepare and maintain an inventory of all bridges subject to the NBIS.,,,,,,N
National Collegiate Cycling Association (NCCA),Bicycle Racing Guidelines,"The NCCA is a standing committee of USA Cycling. The NCCA develops, administers, promotes, and governs collegiate cycling across the country.",,,,,,N
National Environmental Policy Act (NEPA),Utilities Manual,National Environmental Policy Act: The Policy that requires assessment and publication of environmental impacts related to any federally funded project.,,,,,,N
National Highway System (NHS) (Design),Desgin Manual,"The NHS was developed by the U.S. Department of Transportation (DOT) in cooperation with the states, local officials, and metropolitan planning organizations (MPOs).",,,,,National Highway System (NHS) (Utilities),N
National Highway System (NHS) (Utilities),Utilities Manual,National Highway System: Federally funded highways that are part of the National Defense Highway System.,,,,,National Highway System (NHS) (Design),N
National Institute for Occupational Safety and Health (NIOSH),Safety Manual,NIOSH is the federal agency that certifies respirators for occupational use.,,,,,,N
National Plan of Integrated Airport Systems (NPIAS),State-Managed Airport Handbook,"FAA planning document that identifies more than 3,300 airports that are significant to national air transportation and thus eligible to receive Federal grants under the Airport Improvement Program (AIP). It also includes estimates of the amount of AIP money needed to fund infrastructure development projects that will bring these airports up to current design standards and add capacity to congested airports. FAA is required to provide Congress with a 5-year estimate of AIP eligible development every 2 years. The NPIAS comprises all commercial service airports, all reliever airports, and selected general aviation airports.",,,,,,N
National Pollution Discharge Elimination System (NPDES) (Environment),Environment Manual,"Pollution control permits that require point source dischargers to obtain permits. These are issued to WSDOT and other entities, by Ecology, for construction stormwater, municipal separate storm sewer systems, industrial, and sand and gravel operations.",,,,,National Pollution Discharge Elimination System (NPDES) (Highway Runoff),N
National Pollution Discharge Elimination System (NPDES) (Highway Runoff),Highway Runoff Manual,"The part of the federal Clean Water Act that requires point source dischargers to obtain permits, called NPDES permits, which in Washington State are administered by the Washington State Department of Ecology.",,,,,National Pollution Discharge Elimination System (NPDES) (Environment),N
National Transportation Safety Board (NTSB),State-Managed Airport Handbook,The independent federal agency charged with investigating and finding 'probable cause' of transportation accidents.,,,,,,N
National Tunnel Inspection Standards (NTIS),Bridge Inspection Manual,"Title 23 Code of Federal Regulations 650 Subpart E defines the NTIS regulations, and establishes requirements for inspection procedures, frequency of inspections, qualifications of personnel, inspection reports, and preparation and maintenance of a state tunnel inventory. The NTIS apply to all structures defined as highway tunnels located on all public roads.",,,,,,N
National Tunnel Inventory (NTI),Bridge Inspection Manual,"The aggregation of structure inventory and appraisal data collected to fulfill the requirements of the National Tunnel Inspection Standards. Tunnel Operations, Maintenance, Inspection, and Evaluation Manual (TOMIE) – The TOMIE provides uniform and consistent guidance on the operation, maintenance, inspection, and evaluation of tunnels. See Section 1.01.A for additional definitions used in this manual.",,,,,,N
Nationwide Permit,Environment Manual,A type of General Permit issued by the US Army Corps of Engineers under Section 404 and/or Section 10.,,,,,,N
native growth protection easement (NGPE),Highway Runoff Manual,An easement granted for the protection of native vegetation within a sensitive area or its associated buffer. The easement should be recorded on the appropriate documents of title and filed with the county records division.,,,,,,n
native plant (Roadside Policy),Roadside Manual,"Occurring naturally in a particular region, ecosystem, or habitat, without human cause or influence. Includes all plant species indigenous to, or known to exist in, a region at the time of European settlement.",,,,,native plant (Roadside),n
native plant (Roadside),Roadside Manual,"A plant occurring naturally in a particular region, ecosystem, or habitat at the time of European settlement.",,,,,native plant (Roadside Policy),n
native vegetation,Highway Runoff Manual,Vegetation consisting of plant species other than noxious weeds that are indigenous to the region and that could be reasonably expected to occur naturally on the site.,,,,,,n
Natural Disaster,Emergency Funding Manual,"Sudden and unusual natural occurrences which cause serious damage, such as intense rainfall, floods, windstorms, landslides, tidal waves, or earthquakes.",,,,,,N
Natural Resources Conservation Service (NRCS) curve number,Highway Runoff Manual,A number that describes the runoff characteristics of a particular soil type,,,,,,N
natural vehicle path,Desgin Manual,The natural path that a driver navigates a vehicle given the layout of the intersection and the ultimate destination.,,,,,,n
natural wetlands,Roadside Manual,"Wetlands in existence due to natural forces alone, or unintentionally developed through construction or management practices. Natural wetlands can be found in unusual areas, including filled areas, ditches, borrow pits, ponds, and agricultural fields. Natural wetlands are protected by federal, state, and local regulations as well as WSDOT’s internal policies. (See Division 2.)",,,,,,n
Navigable Waters or Navigable Waters of the United States,Environment Manual,"As defined by the Army Corps of Engineers are those waters of the United States including the territorial seas that are subject to the ebb and flow of the tide and/or are presently used, or have been used in the past, or may be susceptible for use to transport interstate or foreign commerce. A determination of navigability, once made, applies laterally over the entire surface of the water body, and is not extinguished by later actions or events which impede or destroy navigable capacity. (33 USC 1362(7) and 33 CFR 329.4)",,,,,,N
navigation,Roadside Manual,Trip planning and execution.,,,,,,n
Navigational Aids (NAVAIDs),State-Managed Airport Handbook,Any facility used by an aircraft for navigation.,,,,,,N
Near-Miss/Close Call,Safety Manual,"An event that, under slightly different circumstances, could have resulted in personal harm or property damage.",,,,,,N
need,Desgin Manual,A statement that identifies the transportation problem(s) or other performance gap,,,,,,n
Negative Exposure Assessment,Safety Manual,"A determination that exposures associated with a process or task are below the PEL and/or Action Level, or that a trigger task has exposures below stipulated levels.",,,,,,N
negative illumination,Desgin Manual,Lighting the background and leaving the object dark to contrast with the light behind it as the driver views it.,,,,,,n
Negative Pressure Respirator,Safety Manual,Any tight-fitting respirator in which the air pressure inside the facepiece is less than the air pressure outside the respirator during inhalation.,,,,,,N
Neighborhood,Local Agency Guidelines,"A secondary subdivision of a municipality, a portion of a community, considered as a unit for planning purposes.",,,,,,N
NEPA Document,Organizational Conflicts of Interest Manual,"Any one of the following: Environmental Assessment (EA), Environmental Impact Statement (EIS), Finding of No Significant Impact (FONSI), Record of Decision (ROD), or Categorical Exclusion (CE).",,,,,,N
net-new impervious surface,Highway Runoff Manual,"The total area of new impervious surface being added to the TDA minus the total area of existing impervious surface being removed from the TDA. In order to use this concept, the existing impervious surface removal area must fully revert to a natural condition as specified in Section 4-3.5.1. The concept of net-new impervious surface applies only to Minimum Requirement 6 (Flow Control) and is applied at the threshold discharge area level. (See the definition for effective impervious surface and Figure 3.3, Step 8.)",,,,,effective impervious surface,n
net passenger waiting area,Terminal Design Manual,The area that comprises the majority of the gross passenger waiting area. This value accounts for the amount of area required to accommodate passengers to sit and stand but does not accommodate for necessary circulation within the waiting area or queuing at the turnstiles. The main corridor upstream of the turnstiles is accounted for in this area.,,,,,,n
network connectivity,Desgin Manual,How the various roadways and other transportation facilities within a network interconnect in a defined geographic area.,,,,,,n
Network Level,Guide for Local Agency Pavement Managers,The level at which key administrative decisions affecting programs for road networks (or systems) are made.,,,,,,N
Network Level,Streetwise,The level at which key administrative decisions affecting programs for road networks (or systems) are made.,,,,,,N
Network Level Analysis,Guide for Local Agency Pavement Managers,"Evaluation of pavement to enable the selection of candidate projects, project scheduling, and budget estimates.",,,,,,N
Network Level Analysis,Streetwise,"Evaluation of pavement to enable the selection of candidate projects, project scheduling, and budget estimates.",,,,,,N
Neutralize or Neutralize the Race,Bicycle Racing Guidelines,"Neutralizing a race means to temporarily suspend it, and is usually accomplished by slowing the racers and confining the race to a small portion of the road. This is often done to allow safe passing of the peloton by other traffic or other races on the road.",,,,,,N
New Construction,Local Agency Guidelines,"The building of a new roadway or structure on substantially new alignment, or the upgrading of an existing roadway or structure by the addition of one or more lanes. If 50 percent or more of the project length involves vertical or horizontal alignment changes, the project is new construction.  The following types of projects are not classed as new construction, and the 3-R standards apply:  - Modernization of an existing street or road by resurfacing, widening lanes, adding shoulders, or adding turn lanes at intersections.  - Temporary replacement of a street or roadway, immediately after the occurrence of a natural disaster or catastrophic failure, to restore the facility for the health, welfare, and safety of the public.",,,,,,N
New Freedom Program 49 USC §5317,Summary of Public Transportation,"A section of the Federal Transit Act authorizing funding for new public transportation services and public transportation alternatives beyond those required by the Americans with Disabilities Act of 1990 (ADA) and codified as 49 U.S.C. 5317. The New Freedom Program grants are  awarded for projects that assist people with disabilities with transportation, including transportation to and from jobs and employment support services.",,,,,,N
new impervious surfaces,Highway Runoff Manual,"Those surfaces that receive direct, run-on, or blow-in of rainfall and (1) expand the existing roadway prism or (2) are upgraded from gravel to bituminous surface treatment (BST), asphalt, or concrete pavement. Note that existing gravel surfaces are considered impervious surfaces. However, a gravel surface that is upgraded to a more impervious surface (gravel to BST, ACP, or PCCP) is defined as a new impervious surface. Also note that for Minimum Requirement determination, permeable pavement is considered an impervious surface.",,,,,,n
nighttime,Desgin Manual,The period of time from one-half hour after sunset to one-half hour before sunrise and any other time when persons or objects may not be clearly discernible at a distance of 500 feet (RCW 46.04.200).,,,,,,n
no-build condition,Desgin Manual,"The baseline, plus state transportation plan and comprehensive plan improvements, expected to exist, as applied to the year of opening or the design year.",,,,,,n
no-vegetation zone (NVZ),Highway Runoff Manual,A shallow gravel trench located directly adjacent to the highway pavement.,,,,,,n
No Right of Way Acquisition,Right of Way Manual,"This is where the proposed project can be built entirely within the existing roadway facility (the facility may be something other than roadway for transportation enhancement projects). Note: If any property interest is required outside the existing right of way, such as a temporary construction easement or a slope easement, the project cannot be certified as “no right of way required”. Also, if property was acquired specifically for the project, but was acquired under any of the “early acquisition” options, this will necessitate a right of way certification 1, 2 or 3—it does not meet the criteria for a “no right of way required” determination.",,,,,,N
NOAA Fisheries,Highway Runoff Manual,"National Oceanic and Atmospheric Administration, National Marine Fisheries Service.",,,,,,N
text font,Terminal Design Manual,"A specific style and size of letters, characters, and numbers.",,,,,,t
Noise Abatement,State-Managed Airport Handbook,A measure or action that minimizes the amount of impact of noise on the environs of an airport. Noise abatement measures include aircraft operating procedures and use or disuse of certain runways or flight tracks.,,,,,,N
Noise Abatement Criteria,Environment Manual,Noise levels that when approached or exceeded are considered to be traffic noise impacts. NAC vary by activities and/or land use.,,,,,,N
Noise Contour Map,State-Managed Airport Handbook,A map representing average annual noise levels summarized by lines connecting points of equal noise exposure.,,,,,,N
Non-compliance (Environmental Health and Safety),Environmental Health and Safety Manual,Failure to meet regulatory or other requirements that have been imposed on the Materials Lab. A compliance audit makes findings of non-compliance.,,,,,noncompliance (Consultant Services),N
Non-conformance,Environmental Health and Safety Manual,"Any deviation from established procedures, programs, and other arrangement related to the EMS. It may include non-compliance with regulations, but not every situation of non-compliance is necessarily non-conformance with the EMS. An EMS audit (internal or third-party) makes findings of non-conformance.",,,,,,N
Non-Directional Beacon (NDB),State-Managed Airport Handbook,"A radio beacon transmitting nondirectional signals whereby the pilot of an aircraft equipped with direction finding equipment can determine his bearing to and from the station. When the radio beacon is installed in conjunction with the ILS marker, it is normally called a compass locator.",,,,,,N
Non-Emergency Medical Transportation (NEMT),Summary of Public Transportation,"Transportation for healthcare purposes (e.g., routine medical appointments, dental care, preventive services) that excludes unforeseen, emergency transportation.",,,,,,N
Non-fish-bearing stream,Highway Runoff Manual,"According to WAC 222-16-030: type Ns waters are non-fish-habitat streams. Until the fish habitat water type maps are available, an interim water-typing system applies (see WAC 222-16-031). Type 5 waters are non-fish-habitat streams. (See fish-bearing stream definition for more details.)",,,,,fish-bearing stream,N
non-graphic,Terminal Design Manual,"Data that provide information about a graphical entity or object, but are not required for displaying or plotting the graphical entity or object.",,,,,,n
Non-Intact Skin,Safety Manual,"Skin that show signs of dermatitis, hangnails, cuts, abrasions, chafing, or acne.",,,,,,N
Non-Operating Right of Way,Utilities Manual,"Property owned by WSDOT not strictly used for highway purposes, such as pit sites, park & ride lots, transit facilities, and other sundry sites located outside of operating right of way.",,,,,,N
Non-pollution-generating surface (NPGS),Highway Runoff Manual,"A surface that, based on its use, is an insignificant or low source of pollutants in stormwater runoff. For example, roofs that are subject only to atmospheric deposition or have normal heating, ventilation, and air conditioning vents; paved bicycle pathways and pedestrian sidewalks that are separated from roads used by motor vehicles; fenced fire lanes; infrequently used maintenance access roads; and in-slope areas of roads. Sidewalks that are regularly treated with salt or other deicing chemicals are considered pollution-generating impervious surfaces.",,,,,,N
Non-Precision Approach Procedure,State-Managed Airport Handbook,"A standard instrument approach procedure with only horizontal guidance or area-type navigational guidance for straight-in approaches, and no electronic vertical guidance (i.e., glideslope) is provided.",,,,,,N
Non-Residential Relocation,Right of Way Manual,"Relocation/displacement of businesses, farms, and nonprofit organizations. PPO relocations are usually treated as non-residential relocations because they do not require DSS assurances.",,,,,,N
Non-road-related project,Highway Runoff Manual,"A project involving structures, including rest areas, maintenance facilities, and ferry terminal buildings.",,,,,,N
Non-Towered Airport,State-Managed Airport Handbook,"An airport without a control tower, which encompasses the majority of America's 13,000 airports (only approximately 680 airports have control towers). Note: Non-Towered airports are far from being 'uncontrolled' in that pilots follow traffic pattern procedures and self-announce positions and intentions using the CTAF, usually called the UNICOM frequency.",,,,,,N
noncompetitive,Consultant Services Manual,The method of procurement of services when it is not feasible to award a contract using competitive negotiations or small purchase procurement methods.,,,,,,n
noncompliance (Consultant Services),Consultant Services Manual,When a recipient has not correctly implemented the requirements of a contract/agreement.,,,,,Non-compliance (Environmental Health and Safety),n
nonconforming,Terminal Design Manual,"An identified condition that does not meet minimum requirements specified in applicable codes, regulations or this Criteria.",,,,,,n
nonconforming road approach,Desgin Manual,"A road approach that does not meet current requirements for location, quantity, spacing, sight distance, or geometric elements.",,,,,,n
Nondestructive testing (NDT),Guide for Local Agency Pavement Managers,Entails structural testing of pavements by placing a known load on the pavement and measuring deflections; nondestructive testing devices usually employ either a falling weight or a vibrating load.,,,,,,N
Nondestructive testing (NDT),Streetwise,Entails structural testing of pavements by placing a known load on the pavement and measuring deflections; nondestructive testing devices usually employ either a falling weight or a vibrating load.,,,,,,N
nondivisible load,Permit Desk Guide,"A load which cannot be readily or reasonably dismantled and which is reduced to a minimum practical size and weight. Portions of a load can be detached and reloaded on the same hauling unit when the separate pieces are necessary to the operation of the machine or equipment which is being hauled; provided that the arrangement does not exceed permit limits for the configuration without the reloaded pieces. The federal definition of nondivisible load for vehicles operating on the interstate is as follows: any load or vehicle exceeding applicable length or weight limits which, if separated into smaller loads or vehicles, would compromise the intended use of the vehicle, destroy the value of the load or vehicle, or require more than 8 work hours to dismantle using appropriate equipment.",,,,,,n
Noneffective impervious surfaces,Highway Runoff Manual,"Those new, applicable replaced, or existing impervious surfaces that are being managed by existing natural dispersion areas meeting the natural dispersion BMP criteria in Section 5-4.1.2.",,,,,,N
Noneffective pollution-generating impervious surface (PGIS),Highway Runoff Manual,"Those new, applicable replaced, or existing PGIS surfaces that are being managed by existing natural dispersion areas meeting the natural dispersion BMP criteria in Section 5-4.1.2.",,,,,,N
