Definiendum,Short Definiendum,Definiens
Technical co-operation,Technical co-operation,"Article 22 of the Convention establishes the provision
        of assistance for technical co-operation to States
        Parties for the conservation of properties
        included in the World Heritage List.  Technical
        co-operation is one of the types of international
        assistance available from the World Heritage Fund. 
        States Parties can request technical co-operation
        for a number of specified purposes as outlined in the
        Operational Guidelines (UNESCO February 1996: 34-36,
        Paragraphs 99-106) using the form entitled
        ""Request for Technical Co-operation"" (UNESCO 1990a). The
        form is also available electronically via the INTERNET
        at the following address
        .

see International assistance"
Tentative list,Tentative list,"Article 11 of the Convention establishes the
        requirement for States Parties to prepare an
        inventory of property (UNESCO 1972).  The
        Operational Guidelines refer to these inventories
        as tentative lists.
        
        Paragraphs 7 and 8 of the Operational Guidelines
        provide further advice to States Parties as to the
        definition of tentative lists.
        
                7.  The Committee requests each State Party to
                submit to it a tentative list of properties which it
                intends to nominate for inscription to the World
                Heritage List during the following five to ten years.
                This tentative list will constitute the ""inventory""
                (provided for in Article 11 of the Convention) of the
                cultural and natural properties situated within the
                territory of each State Party and which it considers
                suitable for inclusion in the World Heritage List. The
                purpose of these tentative lists is to enable the
                Committee to evaluate within the widest possible context
                the ""outstanding universal value"" of each property
                nominated to the List. The Committee hopes that States
                Parties that have not yet submitted a tentative list
                will do so as early as possible. States Parties are
                reminded of the Committee's earlier decision not to
                consider cultural nominations unless such a list of
                cultural properties has been submitted.
                
                8.  In order to facilitate the work of all
                concerned, the Committee requests States Parties to
                submit their tentative lists in a standard format
                (see Annex 1) which provides for information under the
                following headings:
                
                         -       the name of the property;
                
                         -       the geographical location of the property;
                
                         -       a brief description of the property;
                
                         -       a justification of the ""outstanding
                                 universal value"" of the property in accordance
                                 with the criteria and conditions of
                                 authenticity or integrity set out in
                                 paragraphs 24 and 44 below, taking account of
                                 similar properties both inside and outside the
                                 boundaries of the State concerned.
                
                Natural properties should be grouped according to
                biogeographical provinces and cultural properties should
                be grouped according to cultural periods or areas. The
                order in which the properties listed would be
                presented for inscription should also be indicated, if
                possible (UNESCO February 1996: 3-4).
        
        As stated above the ""Model for presenting a tentative list""
        is included as Annex 1 of the Operational Guidelines
        (UNESCO February 1996).
        
see Inventory of property"
Test of authenticity,Test of authenticity,see Authenticity
Thematic studies,Thematic studies,"Thematic and regional studies of cultural and
        natural heritage are important contributions of the
        Global Strategy.  Such studies provide the comparative
        basis from which to evaluate the outstanding universal
        value of properties nominated for inclusion in the
        World Heritage List.

        In recent years a number of regional and thematic meetings
        have been held on the subject of cultural landscapes
        of outstanding universal value (see for example, von
        Droste et al 1995, von Droste et al 1995:
        Annexes 11 to VI and UNESCO 21 April 1996).

see Global Strategy"
Timetable,Timetable,"The procedure and timetable for the processing of
        nominations (including deadlines for the receipt,
        examination and evaluation of nominations) is
        presented in Paragraphs 65 to 67 of the Operational
        Guidelines (UNESCO February 1996: 23-25).
"
Towns,Towns,"see Groups of urban buildings, Inhabited historic
towns"
Training,Training,"Articles 22(c) and 23 of the World Heritage Convention
        provide for international assistance in the form
        of training of staff and specialists in the
        conservation of cultural and natural
        heritage relating to the implementation of the
        World Heritage Convention (UNESCO 1972).  Priority is
        given to group training at the local or regional
        level.  States Parties may submit requests for
        international assistance with training as
        outlined in Paragraphs 94 to 98 of the Operational
        Guidelines (UNESCO February 1996: 32-34) using the form
        entitled ""Requests for the Organization of Training
        Activities"" (UNESCO 1990b).
        
        In adopting a ""Training Strategy"" at its nineteenth session
        in Berlin, Germany in December 1995 the Committee
        stated that:
        
                Training is defined as a broadly encompassing term that
                includes education, training and promotion (UNESCO 31
                January 1996: 55-56).
        
see International assistance"
Transmission,Transmission,"The World Heritage Convention and the Operational
        Guidelines do not specifically define
        transmission.  Throughout the Convention
        reference is made to the ""identification, protection,
        conservation, presentation and transmission to future
        generations of the cultural and natural heritage"".  Article 5
        of the Convention makes reference to a number of
        ""effective and active measures"" that can be taken by States
        Parties in ensuring this ""identification, protection,
        conservation, presentation and transmission"" (UNESCO 1972)."
UNESCO,UNESCO,"see United Nations Educational, Scientific and Cultural
Organization"
"United Nations Educational, Scientific and Cultural Organization","United Nations Educational, Scientific and Cultural Organization","The Constitution of UNESCO (the United Nations
        Educational, Scientific and Cultural Organization) was signed
        in London on 16 November 1945 and came into force with the
        twentieth ratification on 4 November 1946.  The purposes of
        UNESCO as stated in the Constitution are:
        
                ... to contribute to peace and security by promoting
                collaboration among nations through education, science
                and culture in order to further universal respect for
                justice, for the rule of law and for the human rights
                and fundamental freedoms which are affirmed for the
                peoples of the world, without distinction of race, sex,
                language or religion, by the Charter of the United
                Nations (UNESCO 1945).
        
        The Article 14 of the Convention notes that the
        World Heritage Committee ""shall be assisted by a
        Secretariat appointed by the Director-General"" of
        UNESCO.  Since 1992 the UNESCO World Heritage
        Centre has functioned as this Secretariat (UNESCO
        1972).
        "
UNESCO World Heritage Centre,UNESCO World Heritage Centre,see Secretariat
World Conservation Monitoring Centre,WCMC,"The WCMC (World Conservation Monitoring
        Centre) is an independent charity established by
        the IUCN (The World Conservation Union), the
        WWF (World Wide Fund for Nature) and UNEP (United Nations
        Environment Programme).  The WCMC  provides an
        information service on global conservation.  The WCMC
        aims to provide reliable up-to-date information on the
        conservation of species and ecosystems and to promote the
        application of such information for enlightened
        conservation planning.  The WCMC provides
        research, information and technical services so that
        decisions affecting the conservation and sustainable use of
        biological resources may be based on the best available
        information.  The WCMC provides information support to
        both IUCN and UNESCO to assist them in the
        implementation of the World Heritage
        Convention. "
World Conservation Union,IUCN,"see IUCN (International Union for the Conservation of
Nature) - The World Conservation Union"
World Heritage,World Heritage,"World Heritage may best be defined with reference to the
        Preamble to the World Heritage Convention which states
        that:
        
                ... parts of the cultural or natural heritage are of
                outstanding interest and therefore need to be preserved
                as part of the world heritage of mankind as a whole
                (UNESCO 1972: Preamble).
        
        Paragraph 1 of the Operational Guidelines refers to
        the World Heritage (cultural heritage and
        natural heritage) as being
        
                ... among the priceless and irreplaceable possessions,
                not only of each nation, but of mankind as a whole. The
                loss, through deterioration or disappearance, of any of
                these most prized possessions constitutes an
                impoverishment of the heritage of all the peoples in the
                world. Parts of that heritage, because of their
                exceptional qualities, can be considered to be of
                outstanding universal value and as such worthy of
                special protection against the dangers which
                increasingly threaten them (UNESCO February 1996: 1).

see World Heritage List"
World Heritage Bureau,World Heritage Bureau,"Of the 21 States Parties who are members of the
        World Heritage Committee, 7 are also members of the
        World Heritage Bureau.  The World Heritage Bureau
        meets twice a year, once in June/July and a second time
        immediately preceding the Committee's regular session,
        to prepare the work of the World Heritage Committee
        (UNESCO February 1996: 43: Paragraph 132).

see World Heritage Committee"
World Heritage Centre,World Heritage Centre,see Secretariat
World Heritage Committee,World Heritage Committee,"21 States Parties to the World Heritage Convention
        make up the World Heritage Committee in accordance
        with Article 8 (1) of the Convention (UNESCO 1972). 
        The intergovernmental World Heritage Committee meets
        once each year.
        
        Paragraph 3 of the Operational Guidelines outlines the
        four essential functions of the World Heritage Committee
        as being:

                (i)      to identify, on the basis of nominations submitted
                         by States Parties, cultural and natural properties
                         of outstanding universal value which are to be
                         protected under the Convention and to list those
                         properties on the ""World Heritage List"";
                     
                (ii)     monitor the state of conservation of properties
                         inscribed on the World Heritage List.
                     
                (iii)    to decide in case of urgent need which
                         properties included in the World Heritage List
                         are to be inscribed on the ""List of World
                         Heritage in Danger"" ((only properties which
                         require for their conservation major
                         operations and for which assistance has been
                         requested under the Convention can be
                         considered));
                     
                (iv)     to determine in what way and under what conditions
                         the resources in the World Heritage Fund can most
                         advantageously be used to assist States Parties, as
                         far as possible, in the Protection of their
                         properties of outstanding universal value (UNESCO
                         February 1996: 1)."
World Heritage Convention,World Heritage Convention,"see Convention concerning the protection of the world cultural
and natural heritage"
World Heritage Education,WHE,"see World Heritage Youth Forum/Fora, Young People's
Participation in World Heritage Preservation and Promotion"
World Heritage emblem,World Heritage emblem,"The World Heritage emblem was designed by Mr Michel
        Olyff and adopted by the Committee at its second
        session in 1978.  The emblem, reproduced on the front cover
        of this Glossary, symbolizes the interdependence of cultural
        and natural properties: the central square is a form created
        by man and the circle represents nature, the two being
        intimately linked. The emblem is round, like the world, but
        at the same time it is a symbol of protection.
        
        At its eighteenth session in December 1994 the World
        Heritage Committee adopted the addition of text to the
        World Heritage emblem.  The use of the emblem with
        text is explained in Paragraph 122 of the Operational
        Guidelines:
        
                The emblem should always carry the text ""World Heritage
                . Patrimoine Mondial"".  the space occupied by
                ""Patrimonio Mundial"" can be used for its translation
                into the national language of the country where the logo
                is to be used (UNESCO February 1996: 41).
        
        Paragraphs 122 to 125 of the Operational Guidelines
        include guidance as to the appropriate use of the
        World Heritage emblem as adopted by the Committee
        (UNESCO February 1996: 41-41, Paragraphs 122-125)."
World Heritage Fund,World Heritage Fund,"The World Heritage Fund was established according to
        Article 15 of the World Heritage Convention (UNESCO
        1972).  The World Heritage Fund is a trust fund
        composed of contributions from a number of sources (including
        compulsory and voluntary contributions made by the States
        Parties to the Convention) referred to in
        Article 15 (3) of the World Heritage Convention.  The
        Fund provides the financial resources for the
        provision of international assistance (Preparatory
        assistance, Emergency assistance, Training,
        Technical co-operation and assistance for
        promotional activities).

see Emergency assistance, International
assistance, Preparatory assistance, Promotional
activities, Technical assistance, Technical co-
operation, Training"
World Heritage List,World Heritage List,"Article 11 (2) of the Convention refers to the
        World Heritage List as:
        
                ... a list of properties forming part of the cultural
                heritage and natural heritage, as defined in Articles 1
                and 2 of this, as defined in Articles 1 and 2 of this
                Convention, which it considers as having outstanding
                universal value in terms of such criteria as it shall
                have established.  An updated list shall be distributed
                at least every two years (UNESCO 1972).

        The World Heritage List is intended to be a select
        list of cultural and natural heritage properties
        of outstanding universal value (UNESCO February
        1996: 2, Paragraph 6 (i).

        In accordance with Paragraph 135 of the Operational
        Guidelines the World Heritage List is published
        every year (see UNESCO-ICOMOS Documentation Centre 1996 and
        UNESCO 1996)."
World Heritage logo,World Heritage logo,see World Heritage emblem
World Heritage value,World Heritage value,see Outstanding universal value
World Heritage Youth Forum/Fora,World Heritage Youth Forum/Fora,"World Heritage Youth Fora are part of the Young
        People's Participation in World Heritage Preservation and
        Promotion.  Youth fora are convened to bring together
        Associated School's Project (ASP) students and teachers to
        share their experience of World Heritage Education (WHE), to
        catalyse the development of World Heritage curricula and to
        facilitate an exchange of information between schools in
        different countries.  Youth fora were held in Bergen, Norway
        in June 1996 and in Dubrovnik, Croatia in May 1996.  In
        September 1996 a Youth Forum will be held in Zimbabwe.
        
see Young People's Participation in World Heritage Preservation
and Promotion"
World Heritage Youth Project,World Heritage Youth Project,"see World Heritage Youth Forum/Fora, Young People's
Participation in World Heritage Preservation and Promotion"
Young People's Participation in World Heritage Preservation and Promotion,Young People's Participation in World Heritage Preservation and Promotion,"The Young People's Participation in World Heritage
        Preservation and Promotion is an inter-regional project
        coordinated by the UNESCO World Heritage Centre and
        UNESCO's Associated School's Project (coordinated by
        UNESCO's Sector for Humanistic, Cultural and
        International Education).  The project was launched in 1994
        in order to sensitize young people at secondary school level
        to the importance of World Heritage.  The project's
        aim is to initiate or reinforce teaching and activities in
        the area of World Heritage Education (WHE) and to
        produce an education kit to this end.
        
see World Heritage Youth Forum/Fora"
Youth Forum,Youth Forum,"see World Heritage Youth Forum/Fora, Young People's
Participation in World Heritage Preservation and Promotion
"
Youth Project,Youth Project,"see World Heritage Youth Forum/Fora, Young People's
Participation in World Heritage Preservation and Promotion is
an"
